round_epochs,val_loss,val_main_output_loss,val_sec_output_loss,val_main_output_score,val_sec_output_score,loss,main_output_loss,sec_output_loss,main_output_score,sec_output_score,Dlayers,Llayers,batch_size,drpout,nodes
1,0.20545221334216238,0.16479656100273132,0.19744689762592316,-0.16479656100273132,-0.19744689762592316,0.27054109164565016,0.22245198,0.23129643,-0.22245198,-0.23129643,2,2,128,0,50
1,0.17885043577672877,0.13821664452552795,0.20112156867980957,-0.13821664452552795,-0.20112153887748718,0.24861314200954757,0.20166044,0.22132857,-0.20166044,-0.22132856,2,2,128,0,100
1,0.27763423243701685,0.23045237362384796,0.2348974496126175,-0.23045237362384796,-0.2348974496126175,0.2846105992794037,0.23657954,0.23936246,-0.23657954,-0.2393625,2,2,128,0.2,10
1,0.23553918718834946,0.1936553418636322,0.207701176404953,-0.1936553418636322,-0.207701176404953,0.27437099832996764,0.22628456,0.23353137,-0.22628456,-0.23353137,2,2,128,0.2,50
1,0.1644283872226189,0.12639658153057098,0.1918545961380005,-0.1263965666294098,-0.1918545961380005,0.2598414991399367,0.2109778,0.22780527,-0.21097782,-0.22780526,2,2,128,0.2,100
1,0.2774421614933745,0.23089146614074707,0.2293643206357956,-0.23089146614074707,-0.2293643057346344,0.28648574763922385,0.23886554,0.2367653,-0.23886554,-0.23676527,2,2,128,0.5,10
1,0.255550869694158,0.2099175900220871,0.22678585350513458,-0.2099175900220871,-0.226785808801651,0.28004925008014525,0.23157863,0.2376661,-0.23157863,-0.2376661,2,2,128,0.5,50
1,0.14658571197383705,0.11184434592723846,0.17259928584098816,-0.11184436082839966,-0.17259928584098816,0.2556237328752911,0.2075139,0.222403,-0.2075139,-0.22240302,2,2,128,0.5,100
1,0.16783416339720802,0.13050895929336548,0.18652819097042084,-0.13050895929336548,-0.18652820587158203,0.2516499450452608,0.20544693,0.22607303,-0.20544696,-0.22607303,2,3,32,0,10
1,0.028748003523297237,0.0029406093526631594,0.12907272577285767,-0.0029406093526631594,-0.12907271087169647,0.14962950625883448,0.109135486,0.19468036,-0.109135486,-0.19468038,2,3,32,0,50
1,0.00863354724842584,0.0066068051382899284,0.010555366054177284,-0.006606775801628828,-0.010555373504757881,0.09943090967557056,0.06609612,0.16063821,-0.06609612,-0.16063821,2,3,32,0,100
1,0.14641287831511077,0.11409709602594376,0.15985159575939178,-0.11409704387187958,-0.1598515808582306,0.25299448029314586,0.20793557,0.21875812,-0.20793557,-0.21875812,2,3,32,0.2,10
1,0.008743839477584964,0.004406234715133905,0.02182900719344616,-0.00440622866153717,-0.02182900905609131,0.13321877600674292,0.09966793,0.1600458,-0.09966792,-0.16004579,2,3,32,0.2,50
1,0.009441234353373105,0.007502948399633169,0.010045738890767097,-0.0075029293075203896,-0.01004574354737997,0.11649086103870643,0.08062979,0.17245705,-0.08062979,-0.17245704,2,3,32,0.2,100
1,0.16504381317288483,0.13306185603141785,0.16171477735042572,-0.13306184113025665,-0.16171473264694214,0.25429058521628667,0.21041444,0.21612719,-0.21041445,-0.21612717,2,3,32,0.5,10
1,0.03830996585360432,0.009697864763438702,0.14310064911842346,-0.009697863832116127,-0.14310064911842346,0.154570241829903,0.11875374,0.17254053,-0.11875372,-0.17254047,2,3,32,0.5,50
1,0.013658195769706906,0.007796475198119879,0.029593460261821747,-0.00779645936563611,-0.029593423008918762,0.11066842307414797,0.082418546,0.1354139,-0.082418524,-0.1354137,2,3,32,0.5,100
1,0.28256180151669,0.2348707616329193,0.23627129197120667,-0.2348707914352417,-0.2362712323665619,0.2891754056481149,0.24094343,0.23976752,-0.24094343,-0.23976752,2,3,128,0,10
1,0.22309518733928943,0.18099287152290344,0.2099032700061798,-0.18099285662174225,-0.2099032700061798,0.27256762621214065,0.22420105,0.23512575,-0.22420101,-0.23512577,2,3,128,0,50
